word,target 1,target 2,target,triviality_1,triviality_2,triviality
selenic,selenium,,selenium,86,100,86
mastiff,different countries,,different countries,29,100,29
diastolic,diastole,,diastole,88,100,88
noctilucine,Noctiluca,,Noctiluca,78,100,78
hederal,ivy,,ivy,0,100,0
orthographical,orthography,right lines or angles,right lines or angles,91,34,34
hydraulic,hydraulics,,,100,100,100
bibitory,drinking or tippling,,drinking or tippling,38,100,38
alvine,belly or the intestines,,belly or the intestines,50,100,50
peripatetic,philosophy taught by Aristotle,,philosophy taught by Aristotle,36,100,36
